cd_ibge,ptb_rate,early_ptb_rate,extr_ptb_rate
2500536,0.0018271514708569341,0.0009135757354284671,0.0001827151470856934
2500577,0.0028135048231511255,0.0,0.0
2500601,0.0015986797999071735,0.0003094218967562271,0.0001031406322520757
2500700,0.0015606710885680843,0.0,0.0
2500734,0.003592276605298608,0.000449034575662326,0.0
2500775,0.002039102794770301,0.0003598416696653472,0.0
2500809,0.0006440658118156801,0.0001756543123133673,5.85514374377891e-05
2500908,0.001041821699657687,0.0001488316713796696,0.0
2501005,0.0016324511501360375,0.0002968093000247341,0.00014840465001236705
2501104,0.0016972756549743233,0.0005222386630690225,0.00013055966576725562
2501153,0.0014018691588785046,0.0,0.0
2501203,0.0024513338139870223,0.00028839221341023794,0.0
2501302,0.0017717561229807191,0.00010422094841063054,0.00010422094841063054
2501351,0.0031007751937984496,0.0005167958656330749,0.00025839793281653745
2501401,0.0014552781820217173,0.00022388895108026418,0.0
2501500,0.001272984441301273,0.00014144271570014144,0.0
2501534,0.0016559718484785758,0.0,0.0
2501575,0.0023033094920596434,0.0008485877076009214,0.0003636804461146806
2501609,0.0009824469478648154,0.00026198585276395077,0.0
2501708,0.00117864960431049,0.0,0.0
2501807,0.00154324184360435,0.00026929052304505436,5.178663904712584e-05
2501906,0.0013038548752834468,0.00022675736961451248,0.00011337868480725624
2502003,0.0008179959100204499,0.000136332651670075,0.0
2502052,0.0011788977306218685,0.0002947244326554671,0.0
2502102,0.0003687995574405311,0.0,0.0
2502151,0.002294893861158921,0.0008605851979345956,0.00014343086632243257
2502201,0.0031409501374165686,0.001177856301531213,0.0007852375343541421
2502300,0.00040048057669203043,0.00020024028834601522,0.0
2502409,0.0014410443333050776,0.0002543019411714843,0.0
2502508,0.0013520365049856345,0.0004506788349952115,5.633485437440144e-05
2502607,0.0016165535079211122,0.00032331070158422246,0.00032331070158422246
2502706,0.0022242817423540314,0.0003707136237256719,0.0003707136237256719
2502805,0.0015007503751875938,0.0001429286071607232,7.14643035803616e-05
2502904,0.000155448468832582,0.0,0.0
2503001,0.0008756567425569177,0.0001843487879067195,4.6087196976679875e-05
2503100,0.0012720334363074686,0.00036343812465927677,0.0
2503209,0.0015146970605878823,0.00034493101379724057,0.00010497900419916017
2503308,0.0013749754468670202,0.0003928501276762915,9.821253191907288e-05
2503407,0.003218020917135961,0.0,0.0
